user_id,lang1_count,lang2_count,lang3_count,lang4_count,lang5_count,lang6_count,lang7_count,lang8_count,lang9_count,lang10_count,lang1_norm_count,lang2_norm_count,lang3_norm_count,lang4_norm_count,lang5_norm_count,lang6_norm_count,lang7_norm_count,lang8_norm_count,lang9_norm_count,lang10_norm_count
743,13,42,46,9,5,38,44,16,32,47,0.8813545875770352,0.6078652020882019,0.5243113707481776,0.5219093088069767,0.419208975819716,0.4092329806925637,0.3418973987370062,0.3303930521659869,0.2858324165912593,0.2820816016374298
744,13,9,16,5,46,38,42,44,20,17,0.7777341954621466,0.3303930521659869,0.2996435042691232,0.2858324165912593,0.278194363872498,0.2741604036988191,0.2656048581536075,0.1915162566409897,0.1481772030252355,0.1339043986121942
746,13,9,46,38,42,47,44,4,5,16,0.8388884298881,0.5579895198677105,0.5227160089228193,0.4548707736141279,0.4428483103815558,0.3929496983619873,0.3815375622277338,0.3653114337660827,0.3580620624137614,0.3202056083882972
747,13,9,42,46,38,4,5,47,44,1,0.8251240965524784,0.4020243671130865,0.3542442545038129,0.3303930521659869,0.325420655253184,0.3059328039752558,0.207993000124812,0.2000718021862013,0.1915162566409897,0.1720284053630616
748,13,42,38,46,9,5,44,4,47,1,0.8329469324970097,0.63701768546904,0.4748628110060905,0.4735978582784195,0.4349271124429452,0.4283328560164307,0.3599210181038771,0.302834405643029,0.2741604036988191,0.2656048581536075
749,13,16,5,42,9,4,38,46,44,47,0.7696336731601214,0.325420655253184,0.3202056083882972,0.2894560604914336,0.2858324165912593,0.2610557776673281,0.2563044506533691,0.2348553102567439,0.2000718021862013,0.1339043986121942
750,13,46,9,42,16,5,47,38,44,4,0.7171391439415731,0.3599210181038771,0.3580620624137614,0.346173459258783,0.2656048581536075,0.2563044506533691,0.2222658045378533,0.1915162566409897,0.1481772030252355,0.1339043986121942
751,13,38,9,46,5,4,44,47,42,16,0.8557608597277019,0.546727823248775,0.4330841830303897,0.4007742094934727,0.3902088492655634,0.337443118485756,0.3147230087980072,0.302834405643029,0.2820816016374298,0.278194363872498
752,13,9,46,44,4,16,5,42,47,38,0.8111221672412953,0.4729597234994978,0.3704430075630889,0.325420655253184,0.3089439117693617,0.3089439117693617,0.2741604036988191,0.2563044506533691,0.2287458041304111,0.2153674589788157
753,13,9,46,42,38,5,16,44,17,14,0.792006999875188,0.4253772596533251,0.3873958643418773,0.3327951141071876,0.3147230087980072,0.2894560604914336,0.278194363872498,0.2461170068756794,0.2000718021862013,0.2000718021862013
754,13,9,46,42,5,38,44,16,31,17,0.76313871628163,0.3303930521659869,0.3174994573145732,0.302834405643029,0.2287458041304111,0.1822158491407513,0.1720284053630616,0.1607667087441261,0.0979398038504438,0.0979398038504438
755,13,42,46,9,5,44,38,31,10,29,0.7195238244276598,0.3351443791799459,0.2929608747429167,0.2287458041304111,0.1339043986121942,0.1174276551283719,0.0979398038504438,0.0433390536157541,0.0433390536157541,0.0433390536157541
756,13,9,46,42,16,5,4,44,31,1,0.8349138359267112,0.3982291545436701,0.3089439117693617,0.2894560604914336,0.2610557776673281,0.2610557776673281,0.1915162566409897,0.1915162566409897,0.1481772030252355,0.1481772030252355
757,13,46,42,38,17,9,44,5,1,16,0.6948247504474896,0.3942942099009149,0.3942942099009149,0.2461170068756794,0.1915162566409897,0.1822158491407513,0.1607667087441261,0.1481772030252355,0.1174276551283719,0.0979398038504438
758,13,46,9,5,42,38,44,47,31,3,0.7050778789305271,0.2000718021862013,0.0979398038504438,0.0740886015126178,0.0740886015126178,0.0433390536157541,0.0433390536157541,0.0433390536157541,0.0433390536157541,0.0
759,13,9,46,38,42,44,5,16,4,47,0.7903113763314428,0.4478207072943588,0.4020243671130865,0.3687597088689381,0.3482490052114369,0.3059328039752558,0.2929608747429167,0.2222658045378533,0.2153674589788157,0.2000718021862013
760,13,44,38,42,46,9,47,1,5,16,0.8149485179308189,0.412662812648451,0.4103885298712887,0.4056894321561889,0.3784834327957001,0.3753394632592063,0.2610557776673281,0.2406344072853893,0.2222658045378533,0.1822158491407513
761,13,46,9,38,44,5,47,1,16,42,0.7498902634628105,0.4878706626914609,0.4137820611788431,0.3542442545038129,0.3542442545038129,0.3482490052114369,0.2894560604914336,0.2894560604914336,0.278194363872498,0.2741604036988191
762,13,42,9,46,38,5,44,3,47,17,0.8337818217990077,0.4889783125828109,0.325420655253184,0.325420655253184,0.2699682092135054,0.2513320537405661,0.2153674589788157,0.1720284053630616,0.1481772030252355,0.1339043986121942
763,13,46,38,42,9,5,44,1,17,32,0.853419117339973,0.5121663033327666,0.4571211147945973,0.4340096196164949,0.4233604591036277,0.3929496983619873,0.3687597088689381,0.3059328039752558,0.2513320537405661,0.2461170068756794
764,13,9,38,44,46,42,5,16,1,3,0.692716132211065,0.5489514125187085,0.3670494762555346,0.3089439117693617,0.2894560604914336,0.2741604036988191,0.2610557776673281,0.2222658045378533,0.207993000124812,0.1481772030252355
765,13,9,5,46,38,4,42,44,16,47,0.8064495115342352,0.5223134199045493,0.4486274074102014,0.4436932733429793,0.3942942099009149,0.3859611145046489,0.3721002075492629,0.3174994573145732,0.3089439117693617,0.2894560604914336
766,13,9,46,5,42,16,38,44,4,1,0.7243831729343788,0.3418973987370062,0.3396934596662253,0.2858324165912593,0.2656048581536075,0.2348553102567439,0.2287458041304111,0.1339043986121942,0.1174276551283719,0.0740886015126178
767,13,38,9,5,16,4,46,1,47,44,0.8709650141342562,0.5014453114023439,0.4856203215109916,0.3982291545436701,0.3929496983619873,0.3830325132819795,0.3784834327957001,0.3653114337660827,0.325420655253184,0.3059328039752558
768,13,42,46,9,38,4,47,44,5,16,0.8614508320467822,0.604553455864806,0.5508212081518372,0.5126089013067383,0.4729597234994978,0.4585954451758768,0.4243736160541054,0.3704430075630889,0.3502850145414877,0.3059328039752558
769,13,9,38,46,4,5,42,47,1,44,0.8471369918864452,0.4889783125828109,0.4878706626914609,0.4233604591036277,0.4213048715597685,0.3942942099009149,0.3859611145046489,0.3580620624137614,0.337443118485756,0.3147230087980072
770,13,42,9,38,46,5,44,4,10,16,0.8226027705977755,0.5924998437880712,0.5511296853009788,0.5080982211291128,0.4419966145765671,0.4263715668977336,0.346173459258783,0.337443118485756,0.278194363872498,0.2656048581536075
771,13,42,9,46,5,38,44,16,32,31,0.7585048382835737,0.2929608747429167,0.2287458041304111,0.2000718021862013,0.1915162566409897,0.1607667087441261,0.1339043986121942,0.0979398038504438,0.0740886015126178,0.0433390536157541
772,13,42,17,9,46,5,38,44,29,16,0.8365683706943189,0.4394000352787006,0.414889711070193,0.4080648023110133,0.39562201900087,0.3542442545038129,0.2929608747429167,0.2699682092135054,0.2610557776673281,0.2461170068756794
773,13,42,46,9,5,16,4,47,44,38,0.739837064038628,0.4614844658544951,0.3873958643418773,0.3482490052114369,0.2563044506533691,0.2406344072853893,0.2153674589788157,0.1607667087441261,0.1481772030252355,0.1339043986121942
774,13,29,42,9,46,24,40,47,4,5,0.7386712023681694,0.5517439815779471,0.4020243671130865,0.3704430075630889,0.3502850145414877,0.3202056083882972,0.2461170068756794,0.2222658045378533,0.2153674589788157,0.207993000124812
775,13,9,42,46,16,4,5,38,47,1,0.8000436742170582,0.5591388562963981,0.4470078725179705,0.3670494762555346,0.3653114337660827,0.2699682092135054,0.2222658045378533,0.2153674589788157,0.2153674589788157,0.207993000124812
776,13,5,9,46,16,42,10,44,31,38,0.6958636628162731,0.4419966145765671,0.2656048581536075,0.2513320537405661,0.1822158491407513,0.1481772030252355,0.1339043986121942,0.0979398038504438,0.0979398038504438,0.0740886015126178
777,13,9,42,4,46,47,38,5,16,17,0.8332772735181287,0.6656429990167253,0.5304648543521883,0.4358367967251403,0.4044816536786047,0.3418973987370062,0.3147230087980072,0.3147230087980072,0.2820816016374298,0.2656048581536075
778,13,42,46,9,5,17,44,38,39,47,0.8659661195330999,0.6160578024358254,0.4809723171324233,0.4007742094934727,0.3502850145414877,0.3327951141071876,0.3228449340406581,0.302834405643029,0.2820816016374298,0.278194363872498
779,13,46,9,38,42,47,44,5,4,16,0.7417696007003962,0.4867514141610687,0.4723177560562879,0.4533437868162019,0.4340096196164949,0.3670494762555346,0.3599210181038771,0.3279357656004687,0.2929608747429167,0.2894560604914336
780,13,9,42,16,44,46,5,38,32,14,0.6712942903097966,0.4202620607714008,0.3327951141071876,0.0740886015126178,0.0433390536157541,0.0433390536157541,0.0433390536157541,0.0,0.0,0.0
781,13,5,9,46,44,42,38,3,4,14,0.6888804524191221,0.302834405643029,0.2610557776673281,0.2513320537405661,0.1481772030252355,0.1481772030252355,0.0979398038504438,0.0979398038504438,0.0740886015126178,0.0740886015126178
782,13,29,46,5,9,42,38,44,16,3,0.7292641741528669,0.3830325132819795,0.2461170068756794,0.2153674589788157,0.207993000124812,0.1720284053630616,0.1481772030252355,0.1339043986121942,0.1339043986121942,0.0740886015126178
783,13,9,46,4,42,38,16,47,5,44,0.70674293592176,0.4453634207288406,0.3859611145046489,0.302834405643029,0.2820816016374298,0.2699682092135054,0.2563044506533691,0.2563044506533691,0.2461170068756794,0.1915162566409897
784,13,42,9,46,38,44,17,1,5,4,0.6881136214522464,0.412662812648451,0.2963544060504712,0.207993000124812,0.1339043986121942,0.1339043986121942,0.1174276551283719,0.0979398038504438,0.0740886015126178,0.0433390536157541
785,13,9,42,46,16,5,38,44,31,1,0.8048263089784611,0.3418973987370062,0.302834405643029,0.2820816016374298,0.2406344072853893,0.2000718021862013,0.1481772030252355,0.1339043986121942,0.1339043986121942,0.1174276551283719
786,13,46,5,32,9,44,16,29,28,42,0.7059498396437176,0.3942942099009149,0.337443118485756,0.278194363872498,0.2563044506533691,0.2513320537405661,0.2153674589788157,0.2153674589788157,0.207993000124812,0.1915162566409897
787,13,46,9,38,5,4,42,44,47,16,0.9182189002903064,0.5985977285762039,0.533413655377996,0.513049674129242,0.4989652173561057,0.4895278626776349,0.4385202997941205,0.4243736160541054,0.3969335355532759,0.391588058827191
788,13,9,46,42,45,16,5,44,32,3,0.7099972004239594,0.2820816016374298,0.2610557776673281,0.2461170068756794,0.1339043986121942,0.0979398038504438,0.0979398038504438,0.0740886015126178,0.0740886015126178,0.0433390536157541
789,13,46,18,9,42,38,5,44,4,16,0.800850825574842,0.4959110879240719,0.4844771313839065,0.4436932733429793,0.3902088492655634,0.3561702031500476,0.337443118485756,0.3147230087980072,0.3118725129920311,0.3059328039752558
790,13,46,9,38,44,16,5,42,47,26,0.6894730961598952,0.39562201900087,0.3482490052114369,0.3147230087980072,0.2513320537405661,0.2513320537405661,0.2513320537405661,0.2461170068756794,0.2153674589788157,0.1339043986121942
791,13,42,46,5,44,9,32,38,28,47,0.7819747275614628,0.6915632538449983,0.5574101837177995,0.4964262082366725,0.4486274074102014,0.412662812648451,0.39562201900087,0.3942942099009149,0.3303930521659869,0.2858324165912593
792,13,9,5,46,16,32,44,14,47,12,0.7381905693715064,0.3982291545436701,0.3670494762555346,0.3303930521659869,0.3228449340406581,0.278194363872498,0.2513320537405661,0.2000718021862013,0.1915162566409897,0.1915162566409897
794,13,9,46,47,42,5,16,4,38,17,0.6967349235408968,0.5048235194702494,0.4358367967251403,0.4340096196164949,0.373732105781741,0.3396934596662253,0.3351443791799459,0.3327951141071876,0.2894560604914336,0.2820816016374298
795,13,42,38,9,46,44,5,4,47,17,0.7525436295195073,0.4243736160541054,0.4032600717196313,0.3721002075492629,0.3721002075492629,0.302834405643029,0.278194363872498,0.2153674589788157,0.2000718021862013,0.1174276551283719
796,13,9,46,16,47,42,5,38,32,35,0.640277524128785,0.4283328560164307,0.373732105781741,0.3147230087980072,0.1822158491407513,0.1607667087441261,0.1481772030252355,0.1339043986121942,0.0979398038504438,0.0740886015126178
797,13,42,32,46,5,9,38,44,4,16,0.7704283776238569,0.7249904885340607,0.5931255270848559,0.560275965509928,0.4330841830303897,0.4223376067240547,0.3830325132819795,0.3784834327957001,0.3440568107261232,0.3147230087980072
798,13,46,9,42,5,38,44,47,4,1,0.7609983312259939,0.5641632032748597,0.4839009183550928,0.4394000352787006,0.429300168120403,0.4103885298712887,0.4032600717196313,0.384506843663259,0.3482490052114369,0.337443118485756
799,13,9,46,42,44,38,4,16,5,1,0.7165509521045353,0.3522829653851158,0.2963544060504712,0.2563044506533691,0.207993000124812,0.1915162566409897,0.1481772030252355,0.1481772030252355,0.1481772030252355,0.1481772030252355
800,13,42,32,46,9,5,16,44,47,38,0.6594527740533721,0.4103885298712887,0.3174994573145732,0.2996435042691232,0.2963544060504712,0.2287458041304111,0.2153674589788157,0.1174276551283719,0.1174276551283719,0.0979398038504438
802,13,42,46,9,38,5,44,1,47,17,0.8344581185745743,0.533413655377996,0.5152266792807703,0.4340096196164949,0.3859611145046489,0.3580620624137614,0.3279357656004687,0.2858324165912593,0.2820816016374298,0.2741604036988191
803,40,13,24,29,8,46,9,27,38,6,0.6404112167765944,0.5888834124968264,0.5404482498503054,0.5143611906816479,0.4385202997941205,0.3995092567658017,0.3769230071556467,0.3561702031500476,0.2894560604914336,0.278194363872498
804,13,42,38,9,5,46,4,44,16,47,0.8041354112883539,0.4517946690056212,0.4486274074102014,0.4020243671130865,0.3502850145414877,0.3279357656004687,0.3089439117693617,0.2348553102567439,0.2153674589788157,0.1915162566409897
805,13,46,42,5,9,44,14,16,1,10,0.7411987035734242,0.3174994573145732,0.207993000124812,0.1915162566409897,0.1822158491407513,0.1174276551283719,0.1174276551283719,0.0979398038504438,0.0979398038504438,0.0433390536157541
806,13,9,42,46,5,16,38,28,44,47,0.8022414891016956,0.4445316090757068,0.4411380777681523,0.4253772596533251,0.3351443791799459,0.2894560604914336,0.2563044506533691,0.2222658045378533,0.2153674589788157,0.207993000124812
807,13,42,46,44,38,1,9,4,5,10,0.710760932051202,0.3942942099009149,0.3873958643418773,0.2153674589788157,0.207993000124812,0.207993000124812,0.2000718021862013,0.1174276551283719,0.1174276551283719,0.0979398038504438
808,13,46,9,5,47,44,38,16,42,1,0.7323043708729896,0.5304648543521883,0.4453634207288406,0.4202620607714008,0.3995092567658017,0.3617481952125225,0.3502850145414877,0.3502850145414877,0.3174994573145732,0.2963544060504712
809,13,46,5,9,16,38,44,20,14,26,0.7457824708222955,0.2858324165912593,0.2563044506533691,0.2348553102567439,0.2348553102567439,0.2153674589788157,0.1481772030252355,0.1481772030252355,0.1339043986121942,0.0979398038504438
